img_name,x_min,y_min,x_max,y_max,label,prob,scaled_size,actual_size
000000000139,235.99997335553704,141.9999645,262.00001332223144,213.0,unknown,1.0,(800|1201),(426|640)
000000000139,6.999980016652788,166.9999875,156.99999333888425,262.99999275,unknown,1.0,(800|1201),(426|640)
000000000139,556.9999400499584,208.9999665,638.9999800166528,287.9999625,unknown,1.0,(800|1201),(426|640)
000000000139,358.00001332223144,217.99996199999998,414.9999800166528,320.99999925,unknown,1.0,(800|1201),(426|640)
000000000139,289.9999866777685,217.99996199999998,353.0000199833472,317.000019,unknown,1.0,(800|1201),(426|640)
000000000139,413.00004662781015,222.99997724999997,444.00002664446293,305.000025,unknown,1.0,(800|1201),(426|640)
000000000139,316.9999933388843,218.999997,339.0000066611157,231.00004425,unknown,1.0,(800|1201),(426|640)
000000000139,411.999973355537,157.00001024999997,465.9999866777685,295.99997625000003,person,1.0,(800|1201),(426|640)
000000000139,384.0,172.00000275,400.0,207.99998474999998,person,1.0,(800|1201),(426|640)
000000000139,511.99999999999994,204.99998624999998,526.9999800166528,222.00004875,unknown,1.0,(800|1201),(426|640)
000000000139,493.00004662781015,173.99996624999997,514.0000399666943,283.0000005,unknown,1.0,(800|1201),(426|640)
000000000139,603.999973355537,304.99997175,620.000026644463,351.999966,unknown,1.0,(800|1201),(426|640)
000000000139,612.9999933388842,307.99997025,627.0000066611158,354.9999645,unknown,1.0,(800|1201),(426|640)
000000000139,446.9999800166528,120.99997499999999,462.00001332223144,143.99998125,unknown,1.0,(800|1201),(426|640)
000000000139,548.9999933388842,308.999952,585.9999866777686,399.99999525,unknown,1.0,(800|1201),(426|640)
000000000139,349.9999600333055,207.99998474999998,363.0000066611157,231.99997274999998,unknown,1.0,(800|1201),(426|640)
000000000139,411.999973355537,218.999997,422.00001332223144,231.99997274999998,unknown,1.0,(800|1201),(426|640)
000000000139,241.0000199833472,193.999974,255.99999999999997,213.0,unknown,1.0,(800|1201),(426|640)
000000000139,335.99999999999994,198.99998925,346.99995337218985,216.99998025,unknown,1.0,(800|1201),(426|640)
000000000139,320.9999666944213,230.999991,446.9999800166528,320.99999925,unknown,1.0,(800|1201),(426|640)
000000000285,0.99993575,68.0000366552119,587.0000822500001,633.0000274914089,bear,1.0,(873|800),(640|586)
000000000632,2.9999698113207547,265.99999387500003,404.99996981132074,476.00000175,unknown,1.0,(800|1060),(483|640)
000000000632,183.00003018867923,136.0000005,244.99996981132077,229.00002037500002,unknown,1.0,(800|1060),(483|640)
000000000632,455.0000301886792,191.9999865,464.99996981132074,229.00002037500002,unknown,1.0,(800|1060),(483|640)
000000000632,452.99996981132074,252.00005775,462.0,286.999988625,unknown,1.0,(800|1060),(483|640)
000000000632,444.0,296.99996025,451.0000301886792,337.999958625,unknown,1.0,(800|1060),(483|640)
000000000632,504.99996981132074,190.99999537500003,519.0000301886793,228.00002924999998,unknown,1.0,(800|1060),(483|640)
000000000632,486.99996981132074,198.99998475,495.0000301886792,228.00002924999998,unknown,1.0,(800|1060),(483|640)
000000000632,244.0,230.0000115,350.0,319.00000650000004,unknown,1.0,(800|1060),(483|640)
000000000632,346.99996981132074,211.99999012499998,430.0,356.000040375,unknown,1.0,(800|1060),(483|640)
000000000632,460.0,190.99999537500003,491.0000301886792,228.00002924999998,unknown,1.0,(800|1060),(483|640)
000000000632,527.0000301886793,247.9999725,552.0,289.99996200000004,unknown,1.0,(800|1060),(483|640)
000000000632,519.0000301886793,192.999977625,524.0,228.00002924999998,unknown,1.0,(800|1060),(483|640)
000000000632,496.99996981132074,54.999994875000006,502.0,82.999987875,unknown,1.0,(800|1060),(483|640)
000000000632,523.9999396226415,96.999984375,528.0,136.0000005,unknown,1.0,(800|1060),(483|640)
000000000632,492.99996981132074,155.000013,526.0000603773584,163.000002375,unknown,1.0,(800|1060),(483|640)
000000000632,454.0,244.99999912500002,504.0,258.0000045,unknown,1.0,(800|1060),(483|640)
000000000632,460.99996981132074,252.9999885,471.0000301886792,286.999988625,unknown,1.0,(800|1060),(483|640)
000000000632,416.0,42.999980625000006,570.0,346.99999950000006,unknown,1.0,(800|1060),(483|640)
000000000724,120.0,71.00000000000001,255.0,225.0,unknown,1.0,(1066|800),(500|375)
000000000724,122.99999999999999,279.0,146.000015625,310.0,truck,1.0,(1066|800),(500|375)
000000000724,128.000015625,267.0,141.999984375,276.0,car,1.0,(1066|800),(500|375)
