img_name,x_min,y_min,x_max,y_max,label, scaled_size,actual_size
000000000139,-34.30986178184846,407.299878,82.57433472106578,425.3210625,unknown,"(800, 1201)","(426, 640)"
000000000139,17.275577019150706,417.01251825,525.6288559533722,429.08296199999995,unknown,"(800, 1201)","(426, 640)"
000000000139,-0.4283363863447127,76.32604724999999,3.2513172356369693,328.31484525,unknown,"(800, 1201)","(426, 640)"
000000000139,599.9534787676936,372.58572375,638.3599800166527,424.05477749999994,unknown,"(800, 1201)","(426, 640)"
000000000139,-0.24586444629475437,375.194175,6.16872606161532,423.17242500000003,unknown,"(800, 1201)","(426, 640)"
000000000139,49.63671606994171,78.02104800000001,590.578304746045,346.35243075,unknown,"(800, 1201)","(426, 640)"
000000000139,88.21091756869275,324.97841324999996,120.5911873438801,336.73372349999994,unknown,"(800, 1201)","(426, 640)"
000000000139,332.62697085761863,195.81755625,349.5934188176519,215.0010285,unknown,"(800, 1201)","(426, 640)"
000000000139,26.63876103247294,223.41021524999996,40.517275603663606,239.56583924999998,unknown,"(800, 1201)","(426, 640)"
000000000139,64.38250791007493,208.838619,80.06154870940883,240.13508174999998,unknown,"(800, 1201)","(426, 640)"
000000000139,1.3814621149042463,418.28529975,27.201705245628638,426.18062399999997,unknown,"(800, 1201)","(426, 640)"
000000000139,553.9650291423812,288.6255435,588.37939050791,343.79078625,unknown,"(800, 1201)","(426, 640)"
000000000139,617.4169525395504,237.07523025,637.2772556203164,270.557499,unknown,"(800, 1201)","(426, 640)"
000000000139,236.45809825145713,188.63865749999997,247.66086927560366,211.89681975,unknown,"(800, 1201)","(426, 640)"
000000000139,491.05121731890085,155.67515024999997,498.4438301415487,171.95495325,unknown,"(800, 1201)","(426, 640)"
000000000139,514.7546644462947,195.03563325,526.7048126561199,206.86384274999998,unknown,"(800, 1201)","(426, 640)"
000000000139,385.5110074937552,170.12762625,399.88494920899245,201.59177325,unknown,"(800, 1201)","(426, 640)"
000000000139,419.1137785179017,155.11464074999998,468.3870641132389,299.51170725,person,"(800, 1201)","(426, 640)"
000000000139,46.617258950874266,213.231318,62.58555203996669,240.85811024999998,unknown,"(800, 1201)","(426, 640)"
000000000139,396.2388676103247,203.04858674999997,412.1351673605328,218.625969,unknown,"(800, 1201)","(426, 640)"
000000000285,-1.9125575000000004,69.5229873997709,582.6980365000001,634.2806139747995,bear,"(873, 800)","(640, 586)"
000000000632,600.1254641509433,418.067955375,640.348679245283,479.28536775,unknown,"(800, 1060)","(483, 640)"
000000000632,629.2696754716982,78.987586125,640.9593358490565,429.76144575,unknown,"(800, 1060)","(483, 640)"
000000000632,28.544724528301884,74.983878375,612.7991547169811,409.09447950000003,unknown,"(800, 1060)","(483, 640)"
