img_name,x_min,y_min,x_max,y_max,label,prob
000000006213,602.0,373.2,636.7,418.6,unknown,0.793
000000006213,12.3,48.9,630.6,394.5,unknown,0.775
000000006213,6.9,170.9,205.4,421.2,unknown,0.770
000000006213,438.6,31.1,489.9,68.7,unknown,0.756
000000006213,-0.7,309.9,30.0,428.9,unknown,0.741
000000006213,14.7,246.5,78.4,424.1,unknown,0.737
000000006213,446.9,255.6,472.5,273.7,unknown,0.733
000000006213,475.0,264.0,492.4,276.1,unknown,0.728
000000006213,18.6,402.9,111.5,425.3,unknown,0.723
000000006213,1.3,282.3,69.7,414.4,unknown,0.722
000000030828,607.2,372.2,641.3,423.5,unknown,0.798
000000030828,305.1,160.8,593.8,256.4,unknown,0.779
000000030828,174.8,169.4,577.3,262.0,unknown,0.777
000000030828,385.7,161.7,591.9,252.9,unknown,0.777
000000030828,12.4,105.4,629.1,325.6,unknown,0.777
000000030828,265.5,167.2,590.8,262.5,unknown,0.774
000000030828,484.9,166.0,582.8,249.6,unknown,0.768
000000030828,559.1,213.8,589.0,243.0,unknown,0.766
000000030828,175.7,182.7,234.3,212.4,unknown,0.762
000000030828,617.8,324.0,633.0,333.2,unknown,0.755
000000034873,597.5,421.9,639.9,476.5,unknown,0.796
000000034873,25.2,51.6,618.3,442.0,unknown,0.775
000000034873,126.4,259.6,170.7,296.9,unknown,0.771
000000034873,588.2,126.0,594.1,137.0,unknown,0.763
000000034873,543.9,134.3,569.3,146.3,unknown,0.761
000000034873,347.9,135.2,362.4,153.9,unknown,0.756
000000034873,110.5,261.8,168.5,369.1,unknown,0.742
000000034873,286.6,209.4,315.4,251.1,unknown,0.741
000000034873,638.9,149.9,640.1,255.4,unknown,0.739
000000034873,638.9,250.4,640.0,374.7,unknown,0.737
000000044279,279.0,67.7,574.4,422.9,person,0.797
000000044279,307.2,76.4,425.7,274.8,unknown,0.775
000000044279,618.1,369.4,639.6,424.5,unknown,0.773
000000044279,573.3,104.5,641.6,205.8,unknown,0.771
000000044279,180.3,152.8,225.5,264.8,unknown,0.769
000000044279,178.7,133.6,270.5,258.6,unknown,0.766
000000044279,85.2,134.0,592.0,415.3,unknown,0.766
000000044279,289.4,127.3,575.7,421.8,unknown,0.763
000000044279,151.3,250.2,227.3,298.8,unknown,0.759
000000044279,180.0,125.6,280.3,272.9,unknown,0.759
000000045229,601.7,450.7,639.3,480.5,unknown,0.774
000000045229,5.2,15.3,638.1,469.8,unknown,0.773
000000045229,353.5,178.9,362.3,191.9,unknown,0.761
000000045229,222.0,238.7,234.5,260.0,unknown,0.760
000000045229,496.8,304.6,526.5,341.6,unknown,0.757
000000045229,309.7,461.8,341.9,480.4,unknown,0.757
