BBOX: tensor([134.9156, 311.6666, 294.8156, 425.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([  0.0000, 350.0000,  78.2844, 420.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([183.2188, 266.6667, 261.5031, 333.3333]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([236.5188, 498.3333, 418.0718, 546.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([531.3344, 463.3334, 664.5844, 496.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([369.7688, 421.6667, 458.0469, 498.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 391.6666, 213.2000, 474.9999]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([403.0812, 351.6666, 501.3531, 450.0000]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 84.9469, 371.6667, 186.5500, 403.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([453.0500, 423.3333, 533.0000, 488.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([632.9374, 341.6667, 762.8563, 435.0000]), LABEL: bird (ID: 2), PROB: 1.0
IMAGE_INFO: 800, 1066
