BBOX: tensor([1063.8601,  492.8571, 1192.3800,  745.2380]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 711.6201,  490.4762, 1085.2800,  740.4762]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 773.5001,  330.9524, 1087.6600,  507.1428]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([502.1800, 533.3333, 714.0000, 676.1905]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([540.2600, 383.3333, 787.7801, 523.8095]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([390.3200, 540.4762, 535.5000, 673.8095]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([445.0600, 423.8095, 590.2401, 540.4762]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([290.3600, 571.4286, 409.3600, 678.5714]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([359.3800, 457.1429, 449.8200, 535.7143]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([230.8600, 592.8571, 309.4000, 676.1905]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([   0.0000,    2.3810, 1192.3800,  514.2858]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([247.5200, 538.0952, 287.9800, 580.9524]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([299.8800, 478.5714, 373.6600, 554.7618]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 952.0000,  219.0476, 1075.7600,  330.9524]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([809.2000, 595.2381, 880.6001, 652.3809]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([171.3600, 602.3809, 235.6200, 678.5714]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1037.6802,  209.5238, 1106.7001,  292.8571]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1190
