BBOX: tensor([115.2960, 624.6246, 458.7820, 768.7688]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([439.5660, 646.2462, 557.2640, 739.9399]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([778.2480, 636.6367, 924.7700, 713.5135]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([646.1380, 437.2373, 662.9519, 485.2853]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([766.2380, 434.8349, 787.8560, 480.4805]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([199.3660,  64.8649, 254.6120, 182.5826]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 953.5941,  711.1111, 1001.6340,  802.4024]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1054.4780,  622.2222, 1104.9199,  711.1110]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([232.9940, 648.6486, 273.8280, 679.8799]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([771.0421, 624.6246, 797.4640, 648.6486]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1090.5079,  612.6126, 1203.4020,  641.4415]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1032.8600,  564.5645, 1054.4779,  588.5885]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([269.0240, 454.0540, 302.6520, 521.3214]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([108.0900, 398.7988, 132.1100, 456.4564]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 367.5676,  16.8140, 454.0541]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1201
