BBOX: tensor([520.7031, 493.6953, 681.0797, 577.0194]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([458.2188, 472.8643, 510.2891, 520.7756]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([912.2719, 481.1967, 999.7500, 506.1939]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([341.5812, 458.2825, 376.9891, 483.2798]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([824.7937, 472.8642, 903.9407, 497.8615]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([747.7297, 420.7867, 843.5391, 508.2770]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([ 856.0360,  424.9529, 1043.4891,  474.9474]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([441.5563, 449.9501, 485.2953, 472.8643]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([1049.7375,  343.7119, 1324.6687,  533.2742]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([812.2969, 495.7784, 893.5266, 527.0249]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([868.5328, 462.4488, 931.0172, 493.6953]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([133.3000, 431.2022, 195.7844, 477.0304]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([272.8484, 452.0332, 339.4985, 510.3601]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([  33.3250,  387.4570, 1195.5344,  539.5236]), LABEL: boat (ID: 3), PROB: 1.0
IMAGE_INFO: 752, 1333
