BBOX: tensor([ 865.3750,  636.2353, 1032.8063,  741.6470]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([ 855.9688,  570.3530, 1004.5875,  675.7647]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([519.2251, 446.1176, 649.0313, 510.1177]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([457.1437, 440.4706, 511.7000, 472.4706]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([861.6125, 510.1176, 906.7625, 589.1765]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([221.9875, 387.7647, 297.2375, 487.5294]), LABEL: truck (ID: 17), PROB: 1.0
BBOX: tensor([195.6500, 491.2941, 227.6313, 568.4706]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([778.8375, 496.9412, 810.8187, 538.3530]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1027.1625,  653.1765, 1113.7001,  773.6471]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([823.9875, 466.8235, 857.8500, 576.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([776.9562, 472.4706, 829.6313, 587.2941]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([684.7750, 455.5294, 735.5687, 572.2352]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([660.3188, 438.5882, 696.0626, 542.1177]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([632.1000, 436.7058, 658.4376, 485.6471]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([613.2875, 436.7059, 637.7438, 474.3529]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([220.1063, 391.5294, 295.3563, 489.4118]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([780.7188, 493.1765, 810.8188, 542.1177]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 16.9312, 600.4706, 197.5312, 801.8824]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1062.9062,  472.4706, 1115.5813,  604.2353]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 58.3188, 410.3529, 158.0250, 720.9412]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([150.5000, 451.7647, 255.8500, 730.3530]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 62.0813, 427.2942,  90.3000, 472.4706]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([  3.7625, 416.0000,  63.9625, 626.8235]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([854.0875, 455.5294, 895.4750, 487.5294]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([801.4125, 455.5294, 869.1375, 496.9412]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([526.7501, 438.5882, 556.8501, 459.2941]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([1096.7687,  545.8824, 1113.7001,  583.5295]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([442.0938, 423.5294, 466.5500, 487.5294]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([195.6500, 421.6471, 227.6313, 451.7647]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([129.8063, 576.0000, 152.3813, 623.0588]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([577.5438, 410.3529, 598.2375, 432.9412]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([   5.6438,  374.5883, 1124.9875,  800.0000]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1204
