BBOX: tensor([591.2968, 223.3333, 834.4780, 580.0000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([121.5906, 246.6666, 408.0781, 516.6666]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([374.7656, 365.0000, 419.7375, 385.0000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([ 26.6500, 341.6667,  68.2906, 361.6667]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([ 98.2719, 248.3333, 134.9156, 263.3333]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([976.0562, 300.0000, 991.0468, 310.0000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([907.7656, 220.0000, 916.0938, 226.6667]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([849.4687, 216.6667, 862.7938, 223.3333]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([453.0500, 446.6666, 523.0062, 470.0000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([567.9781, 441.6667, 602.9562, 465.0000]), LABEL: cow (ID: 7), PROB: 1.0
IMAGE_INFO: 800, 1066
