BBOX: tensor([257.8875, 358.8785, 857.7563, 801.8692]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([ 749.3687,  121.4953, 1124.9874,  790.6542]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([308.3438, 123.3645, 756.8438, 437.3832]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([351.3250,  78.5047, 601.7375, 239.2523]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([252.2812, 128.9720, 392.4375, 207.4766]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([ 65.4062, 151.4019, 371.8813, 743.9252]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([  0.0000,  59.8131, 119.6000, 155.1402]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([113.9938,  97.1963, 211.1687, 140.1869]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([  0.0000, 127.1028, 156.9750, 790.6542]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([627.9000, 209.3458, 844.6749, 388.7850]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([741.8937, 128.9719, 900.7375, 205.6075]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([1085.7438,  155.1402, 1197.8689,  611.2150]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([695.1749, 181.3084, 861.4937, 284.1122]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([  0.0000,  54.2056, 753.1063, 269.1589]), LABEL: sheep (ID: 11), PROB: 1.0
IMAGE_INFO: 800, 1196
