BBOX: tensor([872.7062, 332.7103, 939.9813, 366.3552]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([179.4000, 353.2710, 418.6000, 596.2617]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([426.0750, 248.5981, 551.2812, 416.8224]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([1076.4000,  297.1963, 1197.8689,  439.2523]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([547.5438, 186.9159, 639.1125, 299.0654]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([ 990.4375,  287.8505, 1025.9437,  362.6168]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([913.8187, 328.9719, 947.4562, 362.6168]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([571.8375, 265.4206, 706.3876, 405.6075]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([840.9375, 138.3177, 895.1313, 201.8692]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([880.1812, 293.4579, 925.0312, 371.9626]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([241.0687, 328.9720, 265.3625, 371.9626]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1068.9249,  132.7103, 1139.9374,  205.6075]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([607.3437, 132.7103, 650.3250, 188.7850]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([216.7750, 312.1495, 239.2000, 373.8318]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([383.0938, 233.6449, 401.7812, 289.7196]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([437.2875, 205.6075, 455.9750, 254.2056]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([  1.8688, 478.5047,  33.6375, 585.0468]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([616.6875, 371.9626, 710.1250, 450.4673]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([779.2687, 489.7197, 936.2437, 633.6449]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([556.8876, 469.1589, 698.9125, 598.1309]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([498.9563, 405.6075, 609.2125, 500.9345]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([328.9000, 557.0093, 476.5313, 682.2430]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([676.4875, 220.5608, 794.2188, 364.4860]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([635.3749, 170.0935, 715.7313, 269.1589]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([349.4563, 256.0748, 381.2250, 314.0187]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([412.9937, 209.3458, 427.9438, 257.9439]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([900.7375, 295.3271, 913.8187, 325.2336]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([201.8250, 342.0560, 231.7250, 388.7850]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([786.7437, 259.8131, 846.5438, 336.4486]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([769.9250, 205.6075, 816.6437, 233.6449]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([594.2626, 577.5701, 736.2875, 695.3271]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([573.7062, 424.2991, 698.9125, 510.2804]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 966.1437,  213.0841, 1033.4187,  256.0748]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([ 939.9813,  257.9439, 1010.9937,  310.2803]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([764.3188, 328.9720, 852.1500, 398.1309]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([663.4062, 162.6168, 728.8125, 224.2991]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([1091.3500,  228.0374, 1166.1000,  297.1963]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([667.1437, 132.7103, 719.4688, 170.0935]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([127.0750, 396.2617, 151.3687, 465.4205]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1110.0375,  147.6635, 1181.0499,  228.0374]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([289.6562, 317.7570, 327.0312, 355.1402]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 170.0563,  114.0187, 1196.0000,  603.7383]), LABEL: car (ID: 5), PROB: 1.0
BBOX: tensor([708.2562, 134.5794, 975.4875, 530.8411]), LABEL: bus (ID: 4), PROB: 1.0
IMAGE_INFO: 800, 1196
