BBOX: tensor([548.9172, 361.5925, 582.6391, 385.9485]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([584.5125, 365.3396, 623.8547, 391.5691]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([640.7156, 369.0867, 666.9438, 387.8220]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([666.9438, 369.0867, 702.5391, 387.8220]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([777.4766, 369.0867, 824.3125, 397.1897]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([841.1735, 370.9602, 880.5156, 395.3162]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([192.9641, 355.9719, 219.1922, 376.5808]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([157.3688, 357.8454, 177.9766, 374.7073]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([520.8156, 365.3396, 545.1703, 384.0750]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([698.7922, 372.8337, 717.5266, 389.6956]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([949.8329, 372.8337, 991.0485, 395.3162]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([ 977.9344,  378.4543, 1006.0359,  395.3162]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([230.4328, 355.9719, 258.5344, 376.5808]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([717.5266, 354.0984, 964.8203, 434.6604]), LABEL: cow (ID: 7), PROB: 1.0
IMAGE_INFO: 800, 1199
