BBOX: tensor([394.7531, 385.0000, 617.9468, 755.0000]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([416.4063, 311.6667, 476.3687, 433.3333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([819.4874, 256.6667, 889.4437, 505.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([243.1813, 133.3333, 443.0562, 711.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([797.8344, 321.6667, 841.1406, 430.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([612.9500, 290.0000, 666.2499, 496.6666]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([511.3468, 503.3333, 581.3030, 571.6667]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([341.4531, 223.3333, 386.4250, 286.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([359.7750, 328.3333, 418.0719, 391.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([439.7250,  10.0000, 771.1844, 463.3333]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1066
