BBOX: tensor([ 560.1578,  451.5222, 1000.4156,  659.4849]), LABEL: train (ID: 12), PROB: 1.0
BBOX: tensor([959.2000, 515.2225, 987.3016, 537.7050]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1189.6329,  174.2389, 1200.8735,  181.7330]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1122.1892,  140.5152, 1129.6830,  144.2623]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1084.7202,  123.6534, 1095.9608,  129.2740]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1099.7079,  134.8946, 1107.2015,  142.3888]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1073.4796,  106.7916, 1079.0999,  112.4122]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1105.3282,  119.9063, 1118.4424,  129.2740]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1139.0502,  146.1358, 1150.2908,  153.6300]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([734.3876,  39.3443, 747.5016,  46.8384]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([751.2485,  46.8384, 760.6157,  52.4590]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([768.1094,  41.2178, 779.3500,  46.8384]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1024.7704,  108.6651, 1036.0109,  116.1593]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1017.2766,   97.4239, 1024.7704,  104.9180]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 236.0531,   67.4473, 1176.5188,  329.7424]), LABEL: bird (ID: 2), PROB: 1.0
IMAGE_INFO: 800, 1199
