BBOX: tensor([449.6250, 284.7775, 876.7688, 676.3466]), LABEL: motorbike (ID: 10), PROB: 1.0
BBOX: tensor([919.8578, 104.9180, 974.1876, 305.3864]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1056.6189,  110.5386, 1101.5814,  327.8689]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1073.4799,   99.2974, 1122.1892,  155.5035]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1088.4672,   88.0562, 1165.2782,  350.3513]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([777.4766, 228.5714, 899.2500, 331.6159]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 946.0859,   99.2974, 1021.0234,  311.0070]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([678.1843, 200.4684, 721.2734, 281.0305]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([723.1469, 275.4099, 786.8438, 316.6277]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([457.1187,  63.7002, 554.5375, 271.6628]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([507.7016, 144.2623, 854.2875, 520.8431]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1199
