BBOX: tensor([ 183.0938,  168.9567, 1247.0719,  759.2875]), LABEL: bus (ID: 4), PROB: 1.0
BBOX: tensor([848.3343, 333.8422, 899.1937, 439.6946]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([791.3718, 374.5547, 819.8530, 439.6946]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([754.7532, 380.6615, 781.2000, 437.6590]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([431.2874, 337.9135, 496.3875, 425.4453]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1259.2780,  502.7990, 1271.4844,  527.2264]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([1108.7344,  376.5903, 1137.2155,  443.7659]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([522.8343, 321.6285, 600.1406, 423.4096]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([301.0875, 287.0229, 425.1843, 407.1247]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 986.6719,  362.3409, 1004.9811,  439.6946]), LABEL: person (ID: 18), PROB: 1.0
IMAGE_INFO: 800, 1302
