BBOX: tensor([ 791.4688,  375.0000, 1030.9922,  608.3333]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([568.6078, 343.7500, 629.0093, 414.5833]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([356.1610, 339.5833, 441.5563, 397.9167]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([ 49.9875, 370.8333, 262.4344, 514.5833]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([ 68.7328, 350.0000, 158.2937, 389.5833]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([785.2203, 331.2500, 845.6219, 370.8333]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([693.5766, 327.0833, 737.3157, 362.5000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([1155.9611,  316.6667, 1203.8656,  347.9167]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([1222.6110,  318.7500, 1280.9296,  350.0000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([314.5047, 341.6667, 339.4985, 372.9167]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([841.4563, 320.8333, 866.4500, 350.0000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([887.2781, 329.1667, 912.2719, 366.6667]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([229.1094, 343.7500, 293.6766, 387.5000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([224.9438, 341.6667, 281.1797, 364.5833]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([908.1063, 322.9167, 951.8453, 354.1667]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([1024.7438,  327.0833, 1049.7377,  362.5000]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([758.1437, 325.0000, 778.9718, 345.8333]), LABEL: cow (ID: 7), PROB: 1.0
BBOX: tensor([  56.2360,  291.6667, 1333.0000,  372.9167]), LABEL: cow (ID: 7), PROB: 1.0
IMAGE_INFO: 750, 1333
