BBOX: tensor([ 203.3334,  796.1688,  326.6667, 1065.9999]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([   3.3333,  812.8250,  101.6667, 1057.6718]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 13.3333, 579.6375, 131.6666, 777.8469]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([461.6667, 696.2313, 568.3333, 962.7313]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 651.6666,  791.1719,  800.0000, 1067.6656]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([641.6666, 488.0281, 801.6666, 762.8563]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([661.6667, 184.8844, 768.3333, 423.0688]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([408.3333, 144.9094, 575.0000, 381.4282]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([190.0000, 469.7062, 358.3333, 759.5250]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([213.3333, 188.2156, 321.6667, 416.4062]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 55.0000,  98.2719, 158.3333, 304.8094]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([198.3333,   0.0000, 350.0000, 163.2312]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 36.6667, 326.4625, 121.6667, 508.0157]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 68.3333,   0.0000, 739.9999, 159.9000]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 1066, 800
