BBOX: tensor([651.2593, 153.3333, 882.7812, 788.3333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([498.0219, 181.6667, 607.9531, 418.3333]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 39.9750, 191.6667, 156.5687, 456.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([259.8375, 183.3333, 376.4312, 406.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([896.1063, 258.3333, 977.7219, 446.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([681.2407, 256.6667, 804.4969, 473.3334]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([171.5594, 183.3333, 273.1625, 406.6667]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([231.5219, 133.3333, 464.7094, 270.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 561.3156,    0.0000, 1026.0250,  311.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 165.0000,  69.9562, 206.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([471.3719, 156.6667, 684.5718, 306.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1009.3688,  180.0000, 1067.6658,  260.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 962.7313,  210.0000, 1022.6938,  243.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 864.4594,  201.6666, 1001.0406,  266.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1009.3688,  255.0000, 1067.6658,  320.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 173.3333, 169.8938, 275.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([161.5656, 281.6667, 201.5406, 341.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 976.0562,  251.6667, 1037.6843,  426.6666]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([416.4063, 210.0000, 509.6812, 401.6666]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([594.6281, 301.6666, 656.2562, 420.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([344.7844, 233.3333, 431.3969, 265.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([501.3531, 111.6667, 584.6343, 175.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([391.4219, 320.0000, 408.0781, 356.6667]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([169.8938, 235.0000, 246.5125, 383.3333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([388.0906, 175.0000, 506.3500, 225.0000]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1034.3531,  323.3333, 1064.3344,  425.0000]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([138.2469, 156.6666, 279.8250, 251.6666]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([682.9062, 331.6667, 789.5063, 476.6666]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 987.7156,  181.6667, 1049.3436,  223.3333]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1066
