BBOX: tensor([423.3969, 354.0984, 651.9562, 487.1194]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([194.8375, 232.3185, 339.0922, 342.8571]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 44.9625, 734.4263, 149.8750, 801.8735]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 400.9156,  444.0281, 1167.1516,  788.7587]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([582.6391, 194.8478, 687.5516, 331.6159]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 41.2156, 149.8829, 101.1656, 217.3302]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([354.0797, 108.6651, 502.0813, 316.6277]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([518.9422, 112.4122, 648.2094, 327.8689]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([738.1344, 151.7564, 794.3375, 232.3185]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([367.1938, 129.2740, 419.6500, 232.3185]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([636.9688, 125.5269, 708.1594, 256.6745]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([784.9703, 125.5269, 818.6923, 185.4801]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([620.1078,  71.1944, 693.1719, 183.6066]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([387.8016, 187.3537, 503.9547, 325.9954]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 80.5578, 170.4918, 369.0672, 342.8571]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1043.5048,  129.2740, 1139.0499,  215.4567]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([310.9906, 134.8946, 374.6875, 219.2038]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([279.1422, 136.7682, 307.2437, 177.9859]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([ 33.7219, 159.2506,  59.9500, 213.5831]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([ 24.3547, 176.1124,  43.0891, 217.3302]), LABEL: bicycle (ID: 1), PROB: 1.0
BBOX: tensor([382.1812, 114.2857, 400.9156, 127.4005]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([537.6766, 138.6417, 592.0063, 222.9508]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([477.7266, 131.1475, 560.1578, 324.1218]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([805.5781, 127.4005, 858.0344, 230.4450]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([127.3938,  99.2974, 176.1031, 196.7213]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 957.3265,  260.4215, 1197.1266,  408.4310]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([723.1469, 174.2389, 814.9454, 243.5597]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([768.1094, 260.4215, 839.3000, 322.2482]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 286.6510,  91.7984, 459.0164]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1142.7968,  121.7798, 1187.7593,  185.4801]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([312.8641, 189.2272, 339.0922, 217.3302]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([310.9907, 329.7424, 387.8016, 430.9134]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([339.0922, 189.2272, 372.8141, 232.3185]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 876.7687,  213.5832, 1200.8734,  414.0515]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([856.1609, 170.4918, 968.5672, 228.5714]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([365.3203, 183.6066, 399.0422, 245.4333]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([391.5484, 181.7330, 427.1438, 232.3185]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 185.4703,   69.3208, 1150.2906,  337.2365]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 228.5594,  146.1359, 1191.5062,  800.0000]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 800, 1199
