BBOX: tensor([  3.3473, 343.0547,  46.8619, 461.8687]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 53.5565, 403.2984,  83.6820, 455.1750]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  18.4100,  910.3500,  567.3640, 1072.6735]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 386.6109,  915.3703,  801.6737, 1059.2859]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([691.2133, 215.8734, 801.6736, 408.3188]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 190.7950,  384.8907,  801.6737, 1069.3265]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 78.6611, 147.2625, 338.0753, 415.0125]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([292.8870, 152.2828, 508.7866, 456.8484]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([179.0795, 416.6859, 244.3515, 483.6234]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([162.3431, 374.8500, 172.3849, 403.2984]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([153.9749, 371.5031, 165.6904, 415.0125]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([269.4561, 415.0125, 321.3389, 495.3375]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([122.1757, 398.2781, 182.4268, 476.9297]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([107.1130, 123.8344, 197.4895, 259.3828]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([262.7615, 276.1172, 562.3431, 667.7015]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([ 38.4937, 394.9312,  56.9038, 450.1547]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([493.7239, 461.8687, 547.2803, 515.4188]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  1.6737, 689.4562, 200.8368, 942.1453]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([292.8870, 245.9953, 329.7071, 306.2390]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  1.6737, 535.4999, 281.1715, 620.8452]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([277.8242,  75.3047, 383.2636, 160.6500]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([  0.0000, 179.0578,  56.9038, 333.0141]), LABEL: unknown (ID: 80), PROB: 1.0
IMAGE_INFO: 1071, 800
