BBOX: tensor([475.8531, 324.1218, 822.4391, 612.6464]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([121.7734, 361.5926, 702.5391, 678.2202]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 799.9579,  121.7799, 1084.7203,  335.3630]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 39.3422, 633.2553, 949.8328, 790.6324]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([   0.0000,  532.0844, 1200.8734,  792.5059]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 884.2626,  249.1803, 1200.8734,  327.8689]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([103.0391,   5.6206, 350.3328, 575.1757]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([1150.2906,  133.0211, 1200.8734,  221.0773]), LABEL: unknown (ID: 80), PROB: 1.0
BBOX: tensor([ 936.7188,  185.4801, 1099.7079,  282.9040]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 936.7188,  185.4801, 1099.7079,  281.0305]), LABEL: bird (ID: 2), PROB: 1.0
IMAGE_INFO: 800, 1199
