BBOX: tensor([769.9828, 385.9485, 880.5157, 550.8197]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([198.5844, 355.9719, 372.8141, 449.6487]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([891.7563,  26.2295, 902.9969,  52.4590]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([899.2500,  28.1030, 914.2375,  52.4590]), LABEL: person (ID: 18), PROB: 1.0
BBOX: tensor([601.3735,  95.5504, 788.7172, 162.9977]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([329.7250,  69.3208, 440.2578, 114.2857]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([756.8688,  99.2974, 927.3516, 168.6183]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([1142.7970,  138.6417, 1200.8735,  192.9742]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([515.1953,  86.1827, 612.6140, 131.1475]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([222.9391,  82.4356, 363.4469, 140.5152]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([ 95.5453,  86.1827, 230.4328, 144.2623]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([ 29.9750,  99.2974, 129.2672, 148.0094]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([458.9922,  82.4356, 541.4235, 116.1592]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([876.7687,  89.9297, 970.4406, 119.9063]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([522.6890, 434.6604, 614.4875, 513.3489]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([447.7516, 241.6862, 505.8281, 318.5012]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([414.0297, 219.2037, 472.1063, 264.1686]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([417.7766, 191.1007, 483.3469, 232.3185]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([517.0688, 249.1803, 601.3735, 277.2834]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([674.4375, 314.7541, 745.6282, 402.8103]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([1049.1251,  352.2248, 1088.4673,  380.3279]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([430.8906, 363.4660, 496.4609, 429.0398]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([854.2875, 290.3981, 976.0610, 359.7190]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([683.8047, 269.7892, 745.6282, 335.3630]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([539.5500,  44.9649, 627.6016, 106.7916]), LABEL: boat (ID: 3), PROB: 1.0
BBOX: tensor([614.4875, 245.4333, 713.7797, 303.5129]), LABEL: bird (ID: 2), PROB: 1.0
BBOX: tensor([ 472.1062,  196.7213, 1026.6438,  333.4895]), LABEL: bird (ID: 2), PROB: 1.0
IMAGE_INFO: 800, 1199
