BBOX: tensor([503.9547, 361.5925, 646.3359, 584.5434]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([202.3313, 352.2248, 451.4984, 582.6698]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([642.5891, 421.5457, 747.5015, 588.2904]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([ 67.4437, 363.4661, 232.3063, 588.2904]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([661.3234, 352.2248, 837.4266, 488.9930]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([779.3500, 404.6838, 865.5281, 562.0609]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([ 921.7313,  339.1101, 1080.9735,  560.1874]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([1004.1626,  404.6838, 1180.2656,  563.9344]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([  0.0000, 421.5457,  95.5453, 586.4169]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([1084.7203,  350.3513, 1200.8734,  560.1874]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([363.4468, 434.6604, 520.8156, 530.2108]), LABEL: sheep (ID: 11), PROB: 1.0
BBOX: tensor([408.4094, 374.7073, 558.2844, 453.3958]), LABEL: sheep (ID: 11), PROB: 1.0
IMAGE_INFO: 800, 1199
